Datetime,Open,High,Low,Close,Volume
2021-04-01 14:30:00-04:00,399.8550109863281,399.8999938964844,399.82501220703125,399.875,561039
2021-04-01 14:35:00-04:00,399.8699951171875,399.92999267578125,399.8500061035156,399.91009521484375,684144
2021-04-01 14:40:00-04:00,399.9100036621094,400.0,399.8800048828125,399.9700012207031,777881
2021-04-01 14:45:00-04:00,399.95001220703125,399.989990234375,399.84991455078125,399.92999267578125,677254
2021-04-01 14:50:00-04:00,399.92999267578125,399.989990234375,399.9020080566406,399.9100036621094,638318
2021-04-01 14:55:00-04:00,399.8999938964844,399.989990234375,399.8999938964844,399.93499755859375,409619
2021-04-01 15:00:00-04:00,399.93011474609375,399.989990234375,399.7699890136719,399.8399963378906,1917663
2021-04-01 15:05:00-04:00,399.8399963378906,399.8699951171875,399.6600036621094,399.8699951171875,513081
2021-04-01 15:10:00-04:00,399.8699951171875,399.9200134277344,399.6600036621094,399.7049865722656,676514
2021-04-01 15:15:00-04:00,399.70001220703125,399.8066101074219,399.510009765625,399.6400146484375,684766
2021-04-01 15:20:00-04:00,399.6400146484375,399.67498779296875,399.4200134277344,399.42498779296875,1134714
2021-04-01 15:25:00-04:00,399.42999267578125,399.6199951171875,399.42498779296875,399.5899963378906,752392
2021-04-01 15:30:00-04:00,399.5950012207031,399.80999755859375,399.5199890136719,399.7699890136719,756959
2021-04-01 15:35:00-04:00,399.7699890136719,399.82000732421875,399.4599914550781,399.5849914550781,816430
2021-04-01 15:40:00-04:00,399.5899963378906,399.7200012207031,399.55999755859375,399.70001220703125,749079
2021-04-01 15:45:00-04:00,399.6990051269531,400.0899963378906,399.6990051269531,400.031005859375,2816923
2021-04-01 15:50:00-04:00,400.0318908691406,400.260009765625,399.8429870605469,400.2597961425781,2108695
2021-04-01 15:55:00-04:00,400.260009765625,400.6700134277344,400.1499938964844,400.5299987792969,4370140
2021-04-01 16:00:00-04:00,400.53,400.87,400.53,400.795,0
2021-04-01 16:05:00-04:00,400.79,400.88,400.5455,400.82,0
2021-04-01 16:10:00-04:00,400.84,401.05,400.83,401.0,0
2021-04-01 16:15:00-04:00,401.01,401.04,395.8755,400.945,0
2021-04-01 16:20:00-04:00,400.94,400.99,400.92,400.96,0
2021-04-01 16:25:00-04:00,400.93,400.96,400.89,400.92,0
2021-04-01 16:30:00-04:00,400.95,401.04,400.93,401.0,0
2021-04-01 16:35:00-04:00,400.97,401.01,400.61,400.945,0
2021-04-01 16:40:00-04:00,400.96,401.08,400.61,401.05,0
2021-04-01 16:45:00-04:00,401.07,401.08,400.98,401.02,0
2021-04-01 16:50:00-04:00,401.005,401.02,400.99,400.995,0
2021-04-01 16:55:00-04:00,400.99,401.05,400.99,401.0,0
2021-04-01 17:00:00-04:00,401.0,401.01,400.97,400.995,0
2021-04-01 17:05:00-04:00,400.995,401.1,400.98,401.09,0
2021-04-01 17:10:00-04:00,401.09,401.17,401.05,401.1599,0
2021-04-01 17:15:00-04:00,401.13,401.19,401.09,401.16,0
2021-04-01 17:20:00-04:00,401.16,401.17,401.06,401.08,0
2021-04-01 17:25:00-04:00,401.1,401.2,401.1,401.18,0
2021-04-01 17:30:00-04:00,401.18,401.18,400.61,401.135,0
2021-04-01 17:35:00-04:00,401.1,401.135,401.08,401.08,0
2021-04-01 17:40:00-04:00,401.135,401.135,400.9,401.03,0
2021-04-01 17:45:00-04:00,401.05,401.1,400.84,400.94,0
2021-04-01 17:50:00-04:00,400.92,400.95,400.61,400.93,0
2021-04-01 17:55:00-04:00,400.93,400.96,400.85,400.96,0
2021-04-01 18:00:00-04:00,400.97,401.05,400.84,401.05,0
2021-04-01 18:05:00-04:00,401.01,401.05,400.87,400.88,0
2021-04-01 18:10:00-04:00,400.87,400.9,400.85,400.87,0
2021-04-01 18:15:00-04:00,400.87,400.9,400.85,400.89,0
2021-04-01 18:20:00-04:00,400.92,401.0,400.86,400.87,0
2021-04-01 18:25:00-04:00,400.86,400.93,400.86,400.93,0
2021-04-01 18:30:00-04:00,400.94,401.06,400.94,401.03,0
2021-04-01 18:35:00-04:00,401.03,401.07,401.03,401.05,0
2021-04-01 18:40:00-04:00,401.02,401.04,400.98,401.02,0
2021-04-01 18:45:00-04:00,401.0399,401.06,401.01,401.03,0
2021-04-01 18:50:00-04:00,401.03,401.08,401.02,401.03,0
2021-04-01 18:55:00-04:00,401.04,401.07,401.03,401.03,0
2021-04-01 19:00:00-04:00,401.06,401.24,401.03,401.18,0
2021-04-01 19:05:00-04:00,401.2,401.2,401.14,401.14,0
2021-04-01 19:10:00-04:00,401.13,401.14,401.1,401.14,0
2021-04-01 19:15:00-04:00,401.1,401.11,401.08,401.11,0
2021-04-01 19:20:00-04:00,401.1,401.13,401.1,401.11,0
2021-04-01 19:25:00-04:00,401.11,401.14,401.1,401.1,0
2021-04-01 19:30:00-04:00,401.11,401.14,401.08,401.08,0
2021-04-01 19:35:00-04:00,401.08,401.19,401.08,401.19,0
2021-04-01 19:40:00-04:00,401.19,401.22,401.15,401.22,0
2021-04-01 19:45:00-04:00,401.22,401.22,401.15,401.18,0
2021-04-01 19:50:00-04:00,401.18,401.23,401.17,401.19,0
2021-04-01 19:55:00-04:00,401.2,401.24,401.16,401.21,0
2021-04-05 04:00:00-04:00,402.12,402.22,402.11,402.13,0
2021-04-05 04:05:00-04:00,402.13,402.14,402.08,402.12,0
2021-04-05 04:10:00-04:00,402.14,402.3,402.14,402.3,0
2021-04-05 04:15:00-04:00,402.3,402.39,402.29,402.39,0
2021-04-05 04:20:00-04:00,402.39,402.44,402.34,402.44,0
